Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,vapourism.co.uk,vapeuk.co.uk,vapeshop.co.uk,totallywicked-eliquid.co.uk,vapourism.co.uk (pages),vapeuk.co.uk (pages),vapeshop.co.uk (pages),totallywicked-eliquid.co.uk (pages),Results
ivg pro,Informational,2400,25,0.00,0.58,0,2,11,8,,https://vapeuk.co.uk/ivg-pro-12-prefilled-pod-kit,https://www.vapeshop.co.uk/collections/ivg-pro-12,https://www.totallywicked-eliquid.co.uk/ivg-pro-12-blue-sour-raspberry,7110000
lost mary refill,"Commercial, Informational",2400,15,0.90,0.00,0,5,11,2,,https://vapeuk.co.uk/lost-mary-bm600-prefilled-pods,https://www.vapeshop.co.uk/collections/lost-mary-pods,https://www.totallywicked-eliquid.co.uk/vape-pods/lost-mary-pods,5380000
lost mary vapes,"Commercial, Informational",2400,31,0.00,0.00,0,6,15,1,,https://vapeuk.co.uk/lost-mary-bm6000-prefilled-pod-vape-kit,https://www.vapeshop.co.uk/collections/lost-mary,https://www.totallywicked-eliquid.co.uk/brands/lost-mary,8220000
lost vape,Navigational,2400,25,0.00,0.00,0,18,26,57,,https://vapeuk.co.uk/vape-coils-and-pods/lost-vape-replacement-coils-pods,https://www.vapeshop.co.uk/collections/lost-vape,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits,44800000
nicotine pouch,"Informational, Transactional",2400,54,0.00,0.00,0,18,71,15,,https://vapeuk.co.uk/alternatives/nicotine-pouches,https://www.vapeshop.co.uk/collections/nicotine-pouches,https://www.totallywicked-eliquid.co.uk/oral-nicotine/nicotine-pouches,7540000
pixl duo 12,"Commercial, Informational",2400,9,0.00,0.00,0,2,3,5,,https://vapeuk.co.uk/pixl-duo-12-prefilled-pod-kit,https://www.vapeshop.co.uk/collections/pixl-duo-12,https://www.totallywicked-eliquid.co.uk/pixl-duo-12-kit,744000
vape battery,Commercial,2400,23,0.00,0.00,0,40,5,8,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/collections/vape-batteries,https://www.totallywicked-eliquid.co.uk/e-cig-power-units,35100000
vape brands,Commercial,2400,22,0.00,0.00,0,15,12,4,,https://vapeuk.co.uk/pod-vape-kits/disposable-vape-alternatives,https://www.vapeshop.co.uk/collections/disposable-vape-kits,https://www.totallywicked-eliquid.co.uk/,179000000
vape pod,Commercial,2400,36,0.00,0.00,0,1,30,8,,https://vapeuk.co.uk/pod-vape-kits,https://www.vapeshop.co.uk/collections/pod-and-compact-vape-kits,https://www.totallywicked-eliquid.co.uk/vape-pods,55300000
vape shop online,Commercial,2400,87,0.00,0.00,0,1,2,5,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,80600000
vape shop uk,Commercial,2400,87,0.00,0.00,0,2,1,3,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,29600000
vaporesso mini,"Commercial, Informational",2400,18,0.00,0.00,0,2,38,77,,https://vapeuk.co.uk/vaporesso-xros-3-mini-pod-kit,https://www.vapeshop.co.uk/products/vaporesso-xros-mini-vape-kit,https://www.totallywicked-eliquid.co.uk/,4380000
vaporesso pod,Informational,2400,16,0.00,0.00,0,10,21,71,,https://vapeuk.co.uk/vaporesso-xros-corex-3-0-replacement-pods,https://www.vapeshop.co.uk/collections/vaporesso,https://www.totallywicked-eliquid.co.uk/,5990000
best ecig flavour,Commercial,1900,9,0.00,0.00,0,5,26,15,,https://vapeuk.co.uk/blog/how-to-decide-on-a-vape-juice-flavour,https://www.vapeshop.co.uk/blogs/news/top-ten-best-flavour-vape-juices-in-the-uk,https://www.totallywicked-eliquid.co.uk/e-liquids,93600
cheap vapes,Commercial,1900,34,0.00,0.00,0,2,4,10,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,79300000
crystal bar vape,"Commercial, Informational",1900,16,0.00,0.00,0,6,11,5,,https://vapeuk.co.uk/ske-crystal-bar-600-pro-prefilled-pod-kit,https://www.vapeshop.co.uk/collections/disposable-vape-kits,https://www.totallywicked-eliquid.co.uk/vaped/the-ultimate-guide-to-crystal-bar-vapes/,6730000
crystal flavours,"Commercial, Informational",1900,11,0.00,0.00,0,12,37,18,,https://vapeuk.co.uk/blog/the-best-crystal-bar-flavours,https://www.vapeshop.co.uk/collections/disposable-vape-kits,https://www.totallywicked-eliquid.co.uk/ske-crystal-vape-4-in-1,15000000
elf bar 600,"Commercial, Informational",1900,17,0.00,0.00,0,1,32,3,,https://vapeuk.co.uk/elf-bar-600-prefilled-pod-kit,https://www.vapeshop.co.uk/collections/elf-bar,https://www.totallywicked-eliquid.co.uk/elf-bar-600-prefilled-pod-kit,13800000
elf bar refillable pods,Informational,1900,9,0.00,0.00,0,5,29,4,,https://vapeuk.co.uk/elf-bar-elfa-and-elfa-pro-refillable-pods,https://www.vapeshop.co.uk/collections/elf-bar-refillable-vape-pods,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits/vape-pod-kits/elf-bar-pod-kits,1940000
elux liquids,"Commercial, Informational",1900,18,1.53,0.63,0,10,46,69,,https://vapeuk.co.uk/e-liquids/elux-nic-salts/elux-legend-nic-salt-e-liquids,https://www.vapeshop.co.uk/collections/elux-legend-nic-salt-eliquids,https://www.totallywicked-eliquid.co.uk/,1660000
hayati pro max flavours,"Commercial, Informational",1900,11,2.27,0.09,0,9,15,67,,https://vapeuk.co.uk/hayati-pro-max-plus-prefilled-pod-kit,https://www.vapeshop.co.uk/collections/hayati-pro-max,https://www.totallywicked-eliquid.co.uk/,674000
hayati pro ultra plus,"Commercial, Informational",1900,15,1.60,0.17,0,1,20,85,,https://vapeuk.co.uk/hayati-pro-ultra-plus-25000-prefilled-pod-kit,https://www.vapeshop.co.uk/collections/hayati-pro-ultra-plus,https://www.totallywicked-eliquid.co.uk/,20100000
ivg pro pods,Commercial,1900,17,0.00,0.94,0,12,14,7,,https://vapeuk.co.uk/ivg-pro-12-prefilled-pod-kit,https://www.vapeshop.co.uk/collections/ivg-pro-12,https://www.totallywicked-eliquid.co.uk/ivg-pro-12-refill,1510000
ivg refill pods,Informational,1900,17,0.00,0.00,0,3,13,9,,https://vapeuk.co.uk/ivg-air-4-in-1-prefilled-vape-pods,https://www.vapeshop.co.uk/products/exotic-edition-ivg-2400-refill-pods,https://www.totallywicked-eliquid.co.uk/vape-pods/ivg-pre-filled-vape-pods,906000
ivg smart,Transactional,1900,19,0.00,0.04,0,2,27,73,,https://vapeuk.co.uk/ivg-smart-max-prefilled-pod-kit,https://www.vapeshop.co.uk/collections/ivg-smart-max,https://www.totallywicked-eliquid.co.uk/,1450000
juul 2,Navigational,1900,21,0.00,0.00,0,47,25,32,,https://vapeuk.co.uk/vape-kits,https://www.vapeshop.co.uk/collections/juul,https://www.totallywicked-eliquid.co.uk/,6640
lost mary flavors,"Commercial, Informational",1900,12,0.00,0.00,0,16,34,1,,https://vapeuk.co.uk/e-liquids/lost-mary-maryliq-nic-salts,https://www.vapeshop.co.uk/collections/lost-mary-bm6000,https://www.totallywicked-eliquid.co.uk/brands/lost-mary,45900000
lost mary rechargeable,Informational,1900,13,0.00,0.00,0,2,17,1,,https://vapeuk.co.uk/vape-kits/lost-mary-vape-kits,https://www.vapeshop.co.uk/collections/lost-mary-bm6000,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits/vape-pod-kits/lost-mary-pod-kits,2910000
lost mary refillable pods,Informational,1900,15,0.00,0.00,0,2,9,6,,https://vapeuk.co.uk/lost-mary-bm600-prefilled-pods,https://www.vapeshop.co.uk/collections/lost-mary-pods,https://www.totallywicked-eliquid.co.uk/vape-pods/lost-mary-pods,2100000
non nicotine vape,Informational,1900,10,0.00,0.00,0,3,73,27,,https://vapeuk.co.uk/ske-bar-600-zero-nicotine-prefilled-pod-kit,https://www.vapeshop.co.uk/collections/0mg,https://www.totallywicked-eliquid.co.uk/e-liquids/e-liquid-types/zero-nicotine,79700000
online vape shop,Commercial,1900,91,0.00,0.00,0,2,3,7,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,81700000
pixl 8000 pods,"Commercial, Informational",1900,15,0.57,0.63,0,76,75,64,,https://vapeuk.co.uk/pod-vape-kits/prefilled-pod-vape-kits,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,470000
pod vapes,Commercial,1900,29,0.00,0.00,0,1,77,5,,https://vapeuk.co.uk/pod-vape-kits,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,12400000
refillable vapes,Commercial,1900,24,0.00,0.00,0,3,46,9,,https://vapeuk.co.uk/pod-vape-kits/refillable-pod-vape-kits,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits/kit-types/vape-pod-kits/refillable-pod-vape-kits,17000000
ske crystal,Navigational,1900,15,0.00,0.29,0,7,11,6,,https://vapeuk.co.uk/ske-crystal-plus-prefilled-pod-vape-starter-kit,https://www.vapeshop.co.uk/collections/ske-crystal-plus,https://www.totallywicked-eliquid.co.uk/ske-crystal-vape-4-in-1,4320000
smoke shop near me,Transactional,1900,60,0.00,0.00,0,15,7,8,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/pages/store-locator,https://www.totallywicked-eliquid.co.uk/,443000000
tesco vapes,Navigational,1900,28,0.00,0.00,0,63,65,14,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,452000
vape alternative,Informational,1900,16,0.00,0.00,0,11,7,17,,https://vapeuk.co.uk/pod-vape-kits/disposable-vape-alternatives,https://www.vapeshop.co.uk/collections/vape-alternatives,https://www.totallywicked-eliquid.co.uk/vaped/disposable-vape-alternatives-preparing-for-the-ban/,84900000
vape coils,Commercial,1900,17,0.00,0.00,0,9,17,23,,https://vapeuk.co.uk/vape-coils,https://www.vapeshop.co.uk/collections/smok-replacement-coils,https://www.totallywicked-eliquid.co.uk/atomizer-heads,6280000
vape liquid uk,"Commercial, Informational",1900,66,0.00,0.00,0,1,19,7,,https://vapeuk.co.uk/e-liquids,https://www.vapeshop.co.uk/collections/new-eliquid,https://www.totallywicked-eliquid.co.uk/,18000000
vape liquids,"Commercial, Informational",1900,47,0.00,0.00,0,1,18,6,,https://vapeuk.co.uk/e-liquids,https://www.vapeshop.co.uk/collections/new-eliquid,https://www.totallywicked-eliquid.co.uk/e-liquids,14900000
vape online,Commercial,1900,87,0.00,0.00,0,1,24,6,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,213000000
vape tanks,Commercial,1900,22,0.00,0.00,0,6,2,10,,https://vapeuk.co.uk/vape-tanks,https://www.vapeshop.co.uk/collections/all-tanks-and-mods,https://www.totallywicked-eliquid.co.uk/e-cig-tanks,6070000
artificial cigarettes,Informational,1600,80,0.00,0.00,0,14,88,22,,https://vapeuk.co.uk/vape-kits,https://www.vapeshop.co.uk/collections/vape-kits,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits,56900000
aspire gotek,"Commercial, Informational",1600,16,0.74,0.45,0,7,18,83,,https://vapeuk.co.uk/aspire-gotek-x3-pod-kit,https://www.vapeshop.co.uk/products/aspire-gotek-x-pod-kit,https://www.totallywicked-eliquid.co.uk/,689000
best vapes 2025,Commercial,1600,21,0.00,0.00,0,4,24,18,,https://vapeuk.co.uk/vape-kits,https://www.vapeshop.co.uk/blogs/news/the-best-uk-vape-kits-of-2025,https://www.totallywicked-eliquid.co.uk/vaped/best-vapes-for-this-year/,229000000
blu bar pods,"Commercial, Informational",1600,14,0.00,0.00,0,42,9,40,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/products/pineapple-blu-bar-pods,https://www.totallywicked-eliquid.co.uk/,6160000
blu vape pods,Informational,1600,32,0.00,0.00,0,54,40,42,,https://vapeuk.co.uk/pod-vape-kits/refillable-pod-vape-kits,https://www.vapeshop.co.uk/collections/myblu,https://www.totallywicked-eliquid.co.uk/,2450000
buy vape,Transactional,1600,87,0.00,0.00,0,1,17,7,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,198000000
buy vapes online,Transactional,1600,89,0.00,0.00,0,1,11,6,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,193000000
crystal bars,"Commercial, Informational",1600,11,0.00,0.02,0,7,11,25,,https://vapeuk.co.uk/ske-crystal-bar-600-pro-prefilled-pod-kit,https://www.vapeshop.co.uk/collections/disposable-vape-kits,https://www.totallywicked-eliquid.co.uk/ske-crystal-bar-disposable,125000000
disposable vapes uk,Commercial,1600,44,0.00,0.00,0,6,13,1,,https://vapeuk.co.uk/pod-vape-kits/disposable-vape-alternatives,https://www.vapeshop.co.uk/collections/disposable-vape-kits,https://www.totallywicked-eliquid.co.uk/disposable-vape,5850000
e liquids,"Commercial, Informational",1600,61,0.00,0.00,0,2,22,10,,https://vapeuk.co.uk/e-liquids,https://www.vapeshop.co.uk/collections/eliquid,https://www.totallywicked-eliquid.co.uk/,96600000
e-liquids,"Commercial, Informational",1600,56,0.00,0.00,0,1,43,4,,https://vapeuk.co.uk/e-liquids,https://www.vapeshop.co.uk/collections/new-eliquid,https://www.totallywicked-eliquid.co.uk/,92300000
elf bar 4 in 1,"Commercial, Informational",1600,16,0.00,0.00,0,1,12,32,,https://vapeuk.co.uk/elf-bar-4-in-1-prefilled-pod-vape-kit,https://www.vapeshop.co.uk/collections/elfbar-4in1-vape-kit,https://www.totallywicked-eliquid.co.uk/,106000000
elf bars,"Commercial, Informational",1600,19,0.00,0.00,0,8,3,1,,https://vapeuk.co.uk/vendors/elf-bar,https://www.vapeshop.co.uk/collections/elf-bar,https://www.totallywicked-eliquid.co.uk/brands/elf-bar,113000000
elfbar 4 in 1 pods,"Commercial, Informational",1600,8,0.90,0.04,0,1,11,67,,https://vapeuk.co.uk/elf-bar-4-in-1-multi-flavour-edition-prefilled-vape-pods,https://www.vapeshop.co.uk/collections/elfbar-4in1-vape-kit,https://www.totallywicked-eliquid.co.uk/,3310000
elfbar 600,"Informational, Transactional",1600,18,0.00,0.00,0,2,22,4,,https://vapeuk.co.uk/elf-bar-600-prefilled-pod-kit,https://www.vapeshop.co.uk/products/elfbar-600-prefilled-pod-kit,https://www.totallywicked-eliquid.co.uk/vaped/best-elfbar-600-pre-filled-pod-kit-flavours/,2910000
eliquids,Informational,1600,61,0.00,0.00,0,7,37,2,,https://vapeuk.co.uk/e-liquids,https://www.vapeshop.co.uk/collections/nicotine-salts-eliquid,https://www.totallywicked-eliquid.co.uk/,4860000
elux nic salts,"Commercial, Informational",1600,14,0.00,0.00,0,6,30,83,,https://vapeuk.co.uk/e-liquids/elux-nic-salts/elux-legend-nic-salt-e-liquids,https://www.vapeshop.co.uk/collections/elux-legend-nic-salt-eliquids,https://www.totallywicked-eliquid.co.uk/,1240000
gotek pro,Commercial,1600,18,0.00,0.06,0,11,23,37,,https://vapeuk.co.uk/aspire-gotek-pro-pod-vape-kit,https://www.vapeshop.co.uk/products/aspire-gotek-pro-kit,https://www.totallywicked-eliquid.co.uk/,799000
hayati pro ultra flavours,"Commercial, Informational",1600,20,2.62,0.07,0,11,21,78,,https://vapeuk.co.uk/hayati-pro-ultra-plus-25000-prefilled-pod-kit,https://www.vapeshop.co.uk/collections/hayati-pro-ultra-plus,https://www.totallywicked-eliquid.co.uk/,493000
ivg 2400 flavours,"Informational, Transactional",1600,27,0.00,0.24,0,9,13,4,,https://vapeuk.co.uk/ivg-2400-reload-4-in-1-multi-flavour-edition-prefilled-pods,https://www.vapeshop.co.uk/collections/ivg-2400,https://www.totallywicked-eliquid.co.uk/ivg-2400-4-in-1-disposable-vape,704000
ivg 2400 pods,"Commercial, Informational",1600,16,0.00,1.00,0,1,12,4,,https://vapeuk.co.uk/ivg-2400-reload-4-in-1-multi-flavour-edition-prefilled-pods,https://www.vapeshop.co.uk/collections/ivg-2400,https://www.totallywicked-eliquid.co.uk/vape-pods/ivg-pre-filled-vape-pods,872000
lost mary nera,"Commercial, Informational",1600,11,0.00,0.00,0,1,40,5,,https://vapeuk.co.uk/lost-mary-nera-30k-fullview-prefilled-pod-kit,https://www.vapeshop.co.uk/collections/lost-mary-nera,https://www.totallywicked-eliquid.co.uk/lost-mary-nera-15k-refillable-pod-kit,1550000
lost mary nera pods,"Commercial, Informational",1600,9,0.00,0.00,0,3,19,2,,https://vapeuk.co.uk/lost-mary-nera-30k-fullview-prefilled-pods-refill-container,https://www.vapeshop.co.uk/collections/lost-mary-nera,https://www.totallywicked-eliquid.co.uk/lost-mary-nera-15k-refillable-pod-kit,501000
lost mary tappo,"Commercial, Informational",1600,23,0.00,0.00,0,5,7,1,,https://vapeuk.co.uk/lost-mary-tappo-prefilled-pod-vape-kit,https://www.vapeshop.co.uk/collections/lost-mary-tappo,https://www.totallywicked-eliquid.co.uk/lost-mary-tappo,1160000
lost marys,"Commercial, Informational",1600,18,0.00,0.00,0,5,17,2,,https://vapeuk.co.uk/lost-mary-bm600-prefilled-pod-kit,https://www.vapeshop.co.uk/collections/lost-mary-bm6000,https://www.totallywicked-eliquid.co.uk/brands/lost-mary,15000000
my first vape,Informational,1600,26,0.00,0.00,0,27,63,19,,https://vapeuk.co.uk/lost-mary-bm600-prefilled-pods,https://www.vapeshop.co.uk/collections/pre-filled-pod-kits,https://www.totallywicked-eliquid.co.uk/new-to-vaping,163000000
oxva pods,"Commercial, Informational",1600,10,0.00,0.01,0,1,20,93,,https://vapeuk.co.uk/oxva-xlim-v3-replacement-pods,https://www.vapeshop.co.uk/collections/oxva,https://www.totallywicked-eliquid.co.uk/,3100000
pixl login,"Navigational, Transactional",1600,12,0.00,0.00,0,52,85,80,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,1490000
pod vape,"Commercial, Informational",1600,34,0.00,0.00,0,1,29,9,,https://vapeuk.co.uk/pod-vape-kits,https://www.vapeshop.co.uk/collections/pod-and-compact-vape-kits,https://www.totallywicked-eliquid.co.uk/vape-pods,37800000
rechargeable vape,Informational,1600,23,0.00,0.00,0,3,4,7,,https://vapeuk.co.uk/pod-vape-kits/refillable-pod-vape-kits,https://www.vapeshop.co.uk/blogs/news/disposable-vapes-verses-rechargeable-vapes,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits/kit-types/vape-pod-kits/refillable-pod-vape-kits,15100000
reusable vapes,Commercial,1600,24,0.00,0.00,0,1,47,9,,https://vapeuk.co.uk/pod-vape-kits/refillable-pod-vape-kits,https://www.vapeshop.co.uk/collections/refillable-vape-kits,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits/kit-types/vape-pod-kits/refillable-pod-vape-kits,16800000
ske 600 pro pods,"Commercial, Informational",1600,9,0.80,0.79,0,1,9,5,,https://vapeuk.co.uk/ske-crystal-bar-600-pro-prefilled-pods,https://www.vapeshop.co.uk/collections/ske-600-pro,https://www.totallywicked-eliquid.co.uk/ske-600-pro-pod-x-2,1040000
titan vapes,Informational,1600,14,0.00,0.00,0,6,51,13,,https://vapeuk.co.uk/titan-x-prefilled-pod-kit,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,1190000
uk vapes,Commercial,1600,99,0.00,0.00,0,1,22,9,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,18900000
vape coil,Commercial,1600,26,0.00,0.00,0,8,22,5,,https://vapeuk.co.uk/vape-coils-and-pods,https://www.vapeshop.co.uk/blogs/news/how-to-choose-the-right-vape-coil,https://www.totallywicked-eliquid.co.uk/atomizer-heads,12000000
vape juice uk,Commercial,1600,55,0.00,0.00,0,1,40,6,,https://vapeuk.co.uk/e-liquids,https://www.vapeshop.co.uk/collections/eliquid,https://www.totallywicked-eliquid.co.uk/,8900000
vape store uk,Commercial,1600,87,0.00,0.00,0,2,20,5,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,37000000
vapor online store,Commercial,1600,91,0.00,0.00,0,3,17,4,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,43700000
vuse electronic cigarettes,"Navigational, Transactional",1600,38,0.00,0.00,0,39,12,46,,https://vapeuk.co.uk/vendors/vuse,https://www.vapeshop.co.uk/collections/vuse,https://www.totallywicked-eliquid.co.uk/,2160000
vuse go reload,"Informational, Transactional",1600,18,0.00,0.00,0,44,17,65,,https://vapeuk.co.uk/vuse-go-reload-1000-pod-kit,https://www.vapeshop.co.uk/products/vuse-go-reload-vape-pen,https://www.totallywicked-eliquid.co.uk/,712000
xlim pro,Commercial,1600,18,0.00,0.11,0,7,19,92,,https://vapeuk.co.uk/oxva-xlim-v2-and-oxva-xlim-pro-pod-kit-review,https://www.vapeshop.co.uk/products/oxva-xlim-pro-2-vape-kit,https://www.totallywicked-eliquid.co.uk/,3330000
air vape,Informational,1300,40,0.00,0.00,0,27,5,8,,https://vapeuk.co.uk/ivg-air-4-in-1-prefilled-pod-kit,https://www.vapeshop.co.uk/collections/ivg-air,https://www.totallywicked-eliquid.co.uk/skope-air-vape-bundle,134000000
atom vape liquid 3 mg tobacco,"Commercial, Informational",1300,-1,0.00,0.00,0,42,31,29,,https://vapeuk.co.uk/e-liquids,https://www.vapeshop.co.uk/collections/3mg,https://www.totallywicked-eliquid.co.uk/e-liquids,53900
best electronic cigarette uk,Commercial,1300,35,0.00,0.00,0,2,29,9,,https://vapeuk.co.uk/vape-kits,https://www.vapeshop.co.uk/collections/vape-kits,https://www.totallywicked-eliquid.co.uk/vaped/5-best-vape-starter-kits-for-beginners/,117000000
best refillable vape,Commercial,1300,14,0.00,0.00,0,6,97,8,,https://vapeuk.co.uk/pod-vape-kits/refillable-pod-vape-kits,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/vaped/best-vape-pod-kits/,4810000
best vape flavors,Commercial,1300,17,0.00,0.00,0,5,29,10,,https://vapeuk.co.uk/blog/the-best-vape-liquid-flavours-blog,https://www.vapeshop.co.uk/blogs/news/top-ten-best-flavour-vape-juices-in-the-uk,https://www.totallywicked-eliquid.co.uk/e-liquids/flavour-types,38300000
